date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:01	809/809	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-329%22	http://cdn.lcoi.tk/thanks/data-v-b542ad86.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-b542ad86.css	(from http://lcoi.tk/)
16:41:02	900/900	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-384%22	http://cdn.lcoi.tk/thanks/data-v-bbdab89a.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-bbdab89a.css	(from http://lcoi.tk/)
16:41:02	574/574	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-23e%22	http://cdn.lcoi.tk/thanks/data-v-bfb16a46.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-bfb16a46.css	(from http://lcoi.tk/)
16:41:03	1369/1369	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-559%22	http://cdn.lcoi.tk/thanks/data-v-c06fccc2.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-c06fccc2.css	(from http://lcoi.tk/)
16:41:03	50/50	---M--	200	added ('OK')	text/css	etag:%2263466064-32%22	http://cdn.lcoi.tk/thanks/data-v-c0996248.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-c0996248.css	(from http://lcoi.tk/)
16:41:04	208/208	---M--	200	added ('OK')	text/css	etag:%2263466064-d0%22	http://cdn.lcoi.tk/thanks/data-v-c9185fa2.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-c9185fa2.css	(from http://lcoi.tk/)
16:41:05	423/423	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-1a7%22	http://cdn.lcoi.tk/thanks/data-v-cc52fb5c.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-cc52fb5c.css	(from http://lcoi.tk/)
16:41:05	2061/2061	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-80d%22	http://cdn.lcoi.tk/thanks/data-v-d26e5c98.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-d26e5c98.css	(from http://lcoi.tk/)
16:41:06	531/531	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-213%22	http://cdn.lcoi.tk/thanks/data-v-d481ae34.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-d481ae34.css	(from http://lcoi.tk/)
16:41:06	572/572	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-23c%22	http://cdn.lcoi.tk/thanks/data-v-e1731a40.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-e1731a40.css	(from http://lcoi.tk/)
16:41:07	825/825	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-339%22	http://cdn.lcoi.tk/thanks/data-v-e6ccd65e.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-e6ccd65e.css	(from http://lcoi.tk/)
16:41:08	308/308	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-134%22	http://cdn.lcoi.tk/thanks/data-v-f9624136.css	D:/lcoi.tk/cdn.lcoi.tk/thanks/data-v-f9624136.css	(from http://lcoi.tk/)
16:41:08	12823/12823	---M--	200	added ('OK')	image/png	etag:%22ED022FE6C01DF63A71D3AA0E9EBF35B1%22	https://cdn.luogu.com.cn/upload/usericon/42067.png	D:/lcoi.tk/cdn.luogu.com.cn/upload/usericon/42067.png	(from http://lcoi.tk/)
16:41:08	109/109	---M--	200	added ('OK')	application/octet-stream	etag:%2275FE9363E3F4427D8F25BDE585A6F213%22	https://cdn.luogu.com.cn/upload/usericon/326452.png	D:/lcoi.tk/cdn.luogu.com.cn/upload/usericon/326452.png	(from http://lcoi.tk/)
16:41:08	16356/16356	---M--	200	added ('OK')	application/octet-stream	etag:%22C1417F08183FC3066668CAC56481C08D%22	https://cdn.luogu.com.cn/upload/usericon/357311.png	D:/lcoi.tk/cdn.luogu.com.cn/upload/usericon/357311.png	(from http://lcoi.tk/)
16:41:09	10372/10372	---M--	200	added ('OK')	application/octet-stream	etag:%22B5AA1A6B49371877B86D82768AEFB819%22	https://cdn.luogu.com.cn/upload/usericon/355510.png	D:/lcoi.tk/cdn.luogu.com.cn/upload/usericon/355510.png	(from http://lcoi.tk/)
